seq,dst,sec_last_ip,ip_at_ttl_seclast,start_time,rtt_seclast,rtt_endpoint,dns_trunc,subnet,country,region,city,sat_rtt
245,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:17,65.67,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
246,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:18,65.844,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
247,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:20,65.811,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
248,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:20,65.753,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
249,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:22,65.696,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
250,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:22,65.67,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
251,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:23,65.61,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
252,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:25,65.819,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
253,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:26,66.012,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
254,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:27,65.942,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
255,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:27,65.754,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
256,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:28,65.687,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
257,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:29,65.654,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
258,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:31,65.816,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
259,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:32,65.772,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
260,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:33,65.751,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
261,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:34,65.651,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
262,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:35,65.615,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
263,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:35,65.971,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
264,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:37,65.872,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
265,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:37,66.382,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
266,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:38,65.642,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
267,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:39,67.268,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
268,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:40,65.81,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
269,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:41,112.647,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
270,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:43,65.676,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
271,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:44,65.645,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
272,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:45,66.564,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
273,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:46,65.819,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
274,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:46,65.596,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
275,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:47,66.639,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
276,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:48,65.657,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
277,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:49,66.291,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
278,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:50,65.711,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
280,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:52,65.965,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
283,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:55,65.884,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
284,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:56,66.151,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
285,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:58,65.807,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
292,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:50:05,66.001,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
293,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:50:06,65.921,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
