,ip,date,asn,dns_name,port,pep_link
10680,129.222.68.91,2025-05-17,14593,['customer.bgtacol1.pop.starlinkisp.net'],[ 161 2000],[False False]
10681,138.84.63.48,2025-05-17,14593,['customer.qrtomex1.pop.starlinkisp.net'],[ 80 102 443],[False False False]
10682,129.222.177.222,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 22  80 443],[False False False]
10683,145.224.80.232,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[11201 11222 11443],[False False False]
10684,169.155.240.246,2025-05-17,14593,[],[5000 5001],[False False]
10685,66.9.163.9,2025-05-17,14593,['customer.qrtomex1.pop.starlinkisp.net'],[  21   80  161 2000 8729],[False False False False False]
10686,148.222.212.78,2025-05-17,14593,['customer.bnssarg1.pop.starlinkisp.net'],[161 541],[False False]
10687,98.97.149.221,2025-05-17,14593,['customer.bnssarg1.pop.starlinkisp.net'],[1194 7000 7001 7002 7003 7004 7005 7006 7007 7008 7010 7011 8443 8888],"[False False False False False False False False False False False False
 False False]"
10688,102.215.56.70,2025-05-17,14593,['customer.lgosnga1.pop.starlinkisp.net'],[500],[False]
10689,98.97.126.77,2025-05-17,14593,['customer.lsancax1.pop.starlinkisp.net'],[500],[False]
10690,98.97.28.61,2025-05-17,14593,['customer.snjecax1.pop.starlinkisp.net'],[8090 8091 8093 8094],[False False False False]
10691,129.224.210.47,2025-05-17,14593,['customer.mplsmnx1.pop.starlinkisp.net'],[500],[False]
10692,98.97.186.110,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[ 80 500 554],[False False False]
10693,143.105.83.187,2025-05-17,14593,['customer.frtabra1.pop.starlinkisp.net'],[   80   541  8443 22820],[False False False False]
10694,145.224.82.231,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[541],[False]
10695,206.83.110.91,2025-05-17,14593,[],[1701 4002 4003 5002 5003 5004 5005],[False False False False False False False]
10696,129.222.182.146,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 161 2000 2250 8081],[False False False False]
10697,143.105.27.204,2025-05-17,14593,[],[1701 4002 5002],[False False False]
10698,66.9.163.205,2025-05-17,14593,[],[ 80 443 541],[False False False]
10699,145.224.78.162,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[ 22 161 443],[False False False]
10700,129.222.235.214,2025-05-17,14593,[],[500],[False]
